transaction_id,transaction_date,customer_id,product_id,quantity,unit_price,total_amount,payment_mode
1,1/31/2024,C0065,P049,4,182,728,CARD
2,11/25/2024,C0031,P023,4,86,344,CARD
3,1/10/2024,C0030,P036,3,223,669,CASH
4,8/18/2024,C0012,P018,1,273,273,CASH
5,3/23/2024,C0030,P050,3,330,990,CASH
6,7/5/2024,C0035,P004,4,273,1092,CASH
7,1/31/2024,C0083,P027,1,346,346,CASH
8,1/5/2024,C0099,P041,5,147,735,CARD
9,7/30/2024,C0068,P002,2,136,272,CASH
10,10/28/2024,C0086,P040,1,118,118,CASH
11,8/18/2024,C0038,P008,4,331,1324,CARD
12,6/26/2024,C0025,P043,3,46,138,ONLINE
13,1/18/2024,C0086,P025,3,123,369,ONLINE
14,11/29/2024,C0088,P023,2,297,594,CARD
15,2/13/2024,C0095,P042,3,361,1083,CARD
16,2/23/2024,C0025,P045,1,280,280,ONLINE
17,1/17/2024,C0069,P021,3,497,1491,ONLINE
18,7/29/2024,C0008,P046,5,416,2080,ONLINE
19,8/23/2024,C0058,P006,2,116,232,CASH
20,11/24/2024,C0043,P001,4,455,1820,CARD
21,8/10/2024,C0075,P014,2,206,412,CASH
22,5/27/2024,C0073,P041,3,458,1374,ONLINE
23,1/14/2024,C0081,P040,2,440,880,CARD
24,11/9/2024,C0027,P050,5,168,840,CASH
25,1/11/2024,C0083,P044,1,276,276,CARD
26,5/7/2024,C0081,P013,1,92,92,CARD
27,9/9/2024,C0002,P023,1,106,106,CASH
28,6/20/2024,C0059,P047,1,121,121,CARD
29,9/19/2024,C0037,P001,2,333,666,CASH
30,6/8/2024,C0024,P048,2,95,190,ONLINE
31,5/1/2024,C0028,P002,5,27,135,CARD
32,10/21/2024,C0019,P047,3,344,1032,CARD
33,4/13/2024,C0001,P013,3,234,702,ONLINE
34,11/28/2024,C0043,P018,2,214,428,ONLINE
35,5/4/2024,C0004,P032,1,428,428,CARD
36,7/18/2024,C0032,P036,4,276,1104,ONLINE
37,5/26/2024,C0014,P034,5,98,490,CASH
38,8/10/2024,C0092,P032,5,426,2130,CARD
39,1/20/2024,C0068,P048,2,250,500,ONLINE
40,11/5/2024,C0036,P032,5,224,1120,ONLINE
41,12/11/2024,C0075,P027,1,151,151,ONLINE
42,6/5/2024,C0064,P037,3,460,1380,CARD
43,2/3/2024,C0095,P022,5,197,985,ONLINE
44,7/2/2024,C0014,P011,2,205,410,ONLINE
45,10/21/2024,C0073,P018,2,178,356,CASH
46,2/4/2024,C0072,P019,1,403,403,CASH
47,4/26/2024,C0057,P036,4,362,1448,ONLINE
48,4/25/2024,C0040,P006,4,181,724,CASH
49,5/5/2024,C0066,P001,4,374,1496,CARD
50,4/26/2024,C0061,P005,2,464,928,CASH
51,12/14/2024,C0036,P028,2,159,318,CASH
52,3/23/2024,C0005,P013,2,256,512,CASH
53,1/24/2024,C0095,P045,2,349,698,CARD
54,4/12/2024,C0039,P023,1,357,357,CARD
55,2/28/2024,C0092,P030,3,387,1161,CARD
56,12/17/2024,C0085,P011,4,457,1828,CARD
57,8/8/2024,C0021,P028,3,380,1140,CASH
58,11/12/2024,C0029,P033,5,386,1930,ONLINE
59,12/24/2024,C0078,P008,3,143,429,ONLINE
60,7/14/2024,C0012,P012,4,482,1928,CASH
61,3/27/2024,C0001,P003,5,478,2390,ONLINE
62,9/23/2024,C0020,P028,1,78,78,CASH
63,8/13/2024,C0080,P033,1,371,371,CARD
64,6/28/2024,C0029,P043,5,417,2085,CASH
65,6/22/2024,C0044,P026,3,447,1341,CASH
66,10/12/2024,C0007,P029,4,296,1184,CASH
67,2/16/2024,C0081,P049,5,355,1775,CASH
68,7/22/2024,C0091,P019,4,119,476,CARD
69,6/13/2024,C0028,P015,4,423,1692,ONLINE
70,10/30/2024,C0089,P003,5,348,1740,CARD
71,6/5/2024,C0092,P009,1,307,307,CARD
72,1/22/2024,C0090,P001,2,387,774,CARD
73,7/20/2024,C0094,P009,4,469,1876,CASH
74,10/22/2024,C0071,P001,4,389,1556,ONLINE
75,1/7/2024,C0056,P044,2,27,54,CASH
76,9/15/2024,C0014,P016,2,295,590,CASH
77,3/14/2024,C0019,P016,2,241,482,CASH
78,6/16/2024,C0035,P023,3,45,135,ONLINE
79,5/31/2024,C0085,P009,5,491,2455,CASH
80,8/18/2024,C0044,P029,2,294,588,ONLINE
81,6/14/2024,C0040,P036,2,229,458,CARD
82,2/7/2024,C0086,P009,1,368,368,CARD
83,6/19/2024,C0075,P020,5,184,920,CARD
84,9/26/2024,C0018,P037,4,257,1028,CARD
85,9/24/2024,C0008,P032,4,217,868,ONLINE
86,3/23/2024,C0010,P015,2,438,876,ONLINE
87,7/7/2024,C0086,P025,1,454,454,ONLINE
88,9/7/2024,C0045,P007,5,168,840,CASH
89,9/21/2024,C0006,P035,2,89,178,CARD
90,12/8/2024,C0087,P024,5,461,2305,ONLINE
91,7/7/2024,C0100,P009,2,348,696,CASH
92,8/24/2024,C0070,P045,3,273,819,CASH
93,2/14/2024,C0028,P045,3,166,498,ONLINE
94,5/1/2024,C0008,P033,4,351,1404,CARD
95,9/16/2024,C0032,P009,1,169,169,ONLINE
96,10/5/2024,C0064,P033,5,33,165,ONLINE
97,11/23/2024,C0080,P045,4,419,1676,ONLINE
98,2/24/2024,C0087,P013,5,173,865,CARD
99,2/12/2024,C0036,P020,4,69,276,CARD
100,7/11/2024,C0043,P026,4,79,316,CASH
101,9/24/2024,C0057,P020,5,402,2010,CARD
102,12/9/2024,C0031,P006,5,85,425,CARD
103,7/29/2024,C0059,P036,5,302,1510,ONLINE
104,10/20/2024,C0014,P025,3,478,1434,ONLINE
105,6/4/2024,C0072,P032,4,192,768,ONLINE
106,12/10/2024,C0046,P016,4,424,1696,CARD
107,11/1/2024,C0046,P039,1,451,451,CARD
108,7/5/2024,C0073,P004,2,371,742,CARD
109,7/21/2024,C0049,P010,4,188,752,CASH
110,9/28/2024,C0013,P049,2,76,152,CARD
111,1/28/2024,C0028,P047,5,410,2050,CASH
112,2/19/2024,C0039,P012,1,480,480,ONLINE
113,6/3/2024,C0069,P033,4,257,1028,ONLINE
114,12/24/2024,C0097,P045,3,190,570,CASH
115,12/10/2024,C0072,P035,5,156,780,CARD
